"bicycling, general",7.5
"calisthenics, vigorous effort",8
"calisthenics, moderate effort",3.8
"calisthenics, light effort",2.8
"elliptical trainer, moderate effort",5
"resistance training, power lifting or body building, vigorous effort",6
"resistance (weight) training, squats , slow or explosive effort",5
"resistance (weight) training, multiple exercises, 8-15 repetitions at varied resistance",3.5
"home exercise, general",3.8
"stair-treadmill ergometer, general",9
"rope skipping, general",11
"rowing, stationary ergometer, general, vigorous effort",6
"rowing, stationary, general, moderate effort",4.8
"pilates, general",3
"yoga, Hatha",2.5
"yoga, Power",4
"yoga, Nadisodhana",2
"yoga, Surya Namaskar",3.3
"aerobic, general",7.3
general dancing,7.8
sleeping,0.95
jog/walk combination (jogging component of less than 10 minutes),6
"jogging, general",7
"jogging, in place",8
"running, 5 mph (12 min/mile)",8.3
"running, 7 mph (8.5 min/mile)",11
"running, 10 mph (6 min/mile)",14.5
"running, cross country",9
"badminton, social singles and doubles, general",5.5
"basketball, general",6.5
billiards,2.5
"bowling, indoor, bowling alley",3.8
"boxing, in ring, general",12.8
fencing,6
"football, competitive",8
"golf, general",4.8
"hockey, field",7.8
"hockey, ice, general",8
kickball,7
lacrosse,8
rock or mountain climbing,8
"skateboarding, general, moderate effort",5
"soccer, casual, general",7
"tennis, general",7.3
volleyball,4
backpacking,7
"hiking, cross country",6
"walking, 2.5 mph, level, firm surface",3
"walking, 5.0 mph, level, firm surface",8.3
"surfing, body or board, competitive",5
"swimming laps, freestyle, fast, vigorous effort",9.8
"swimming laps, freestyle, front crawl, slow, light or moderate effort",5.8
"skiing, general",7
